CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status,Risk Class
14001801,Man,600,59.24,90,556.44,0.67,557.11,0,Active,LowRisk
14001887,Man,600,22.7,90,431.67,10.23,466.72,0,Active,LowRisk
14001891,Man,400,26.33,60,399.65,15.04,453.59,0,Active,LowRisk
14001856,Man,600,42.13,90,594.64,20.47,657.28,0,Active,LowRisk
14001806,Woman,300,141.09,45,239.72,8.98,272.67,0,Active,LowRisk
14001902,Woman,400,16.64,60,399.93,27.77,427.7,0,Active,LowRisk
14001907,Woman,400,34.01,60,396.68,14.81,450.14,0,Active,LowRisk
14001852,Man,700,105.23,105,689.01,25.22,780.88,0,Active,LowRisk
14001717,Woman,500,52.3,47.17,46.55,0.62,47.17,0,Active,LowRisk
14001808,Man,500,36.6,75,252.89,20.51,251.03,0,Active,LowRisk
14001846,Woman,500,25.64,75,491.62,36.58,591.52,0,Active,LowRisk
14001725,Woman,500,45.88,75,497.18,2.36,499.54,0,Active,LowRisk
14001734,Man,300,28.72,45,196.76,7.29,218.46,0,Active,LowRisk
14001843,Man,400,19.57,60,399.13,14.52,450.36,0,Active,LowRisk
14001814,Woman,300,58.96,45,292.5,10.5,303,0,Active,LowRisk
14001810,Man,700,32.57,105,552.47,20.47,628.19,0,Active,LowRisk
14001790,Woman,800,61.69,120,797.3,25.72,823.02,0,Active,LowRisk
14001739,Man,700,23.7,105,550.28,20.16,624.27,0,Active,LowRisk
14001775,Man,400,160.5,60,382.9,12.88,395.78,0,Active,LowRisk
14001777,Man,800,158.69,120,794.65,28.97,894.14,0,Active,LowRisk
14001428,Man,400,33.62,60,383.65,55.39,444.01,0,Active,LowRisk
14001794,Man,700,27.12,105,696.06,19.65,715.71,0,Active,LowRisk
14001769,Woman,400,21.9,60,386.42,14.28,439.34,0,Active,LowRisk
14001728,Woman,400,32.71,60,398.74,58.86,498.08,0,Active,LowRisk
14001751,Man,300,77.85,45,300,9.72,309.72,0,Active,LowRisk
14001702,Man,300,24.54,36.68,36,0.68,36.68,0,Active,LowRisk
14001737,Man,600,46.91,90,535.86,5,540.86,0,Active,LowRisk
14001684,Woman,700,17.29,105,177.17,6.52,201.41,0,Active,LowRisk
14001793,Man,300,23.59,45,298.06,9.718,308.72,0,Active,LowRisk
14001743,Man,700,94.29,105,690.54,24.98,778.26,0,Active,LowRisk
14001724,Man,600,52.09,72.05,71.67,0.38,72.05,0,Active,LowRisk
